URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://www.ehealth.fgov.be/standards/fhir/medication/ValueSet/PSSRatingTypesVS,1.0.0,draft,,PSSRatingTypesVS,Types of rating provided by the PSS system,"ValueSet - Types of rating provided by the PSS system","StructureDefinition/PSSStructuredRating","Internal"
https://www.ehealth.fgov.be/standards/fhir/medication/ValueSet/PathogenicAgentHPV,1.0.0,active,,PathogenicAgentHPV,Pathogenic Agents for HPV,"Pathogenic agents associated with HPV",,"SCT"
https://www.ehealth.fgov.be/standards/fhir/medication/ValueSet/PathogenicAgents,1.0.0,active,,PathogenicAgents,Pathogenic Agents list,"Pathogenic agent codes","Questionnaire/q-collect-information-a","SCT"
https://www.ehealth.fgov.be/standards/fhir/medication/ValueSet/PregnancyCodes,1.0.0,active,,PregnancyCodes,Pregnancy Codes,"Pregnancy Codes - used for EHRs to consider pregnancy status",,"SCT,hl7.terminology.r4"
https://www.ehealth.fgov.be/standards/fhir/medication/ValueSet/condition-valueset,1.0.0,active,,Conditions,Antimicrobiology - Vaginitis-related conditions,"Antimicrobiology - S2 Get data to collect - Response - 1.4. ValueSet",,
urn:uuid:c6c13927-2fa0-451b-a403-4a31c7a652ea,null,active,,Conditions,Antimicrobiology - Vaginitis-related conditions,"Antimicrobiology - S2 Get data to collect - Response - 1.4. ValueSet",,
