URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://www.ehealth.fgov.be/standards/fhir/medication/ValueSet/PregnancyCodes,1.0.0,active,,PregnancyCodes,Pregnancy Codes,"Pregnancy Codes - used for EHRs to consider pregnancy status",,"SCT,hl7.terminology.r4"
https://www.ehealth.fgov.be/standards/fhir/medication/ValueSet/condition-valueset,1.0.0,active,,Conditions,Antimicrobiology - Vaginitis-related conditions,"Antimicrobiology - S2 Get data to collect - Response - 1.4. ValueSet",,
urn:uuid:3f82e709-17e1-4ced-9c2c-f5a9cc7e6288,null,active,,Conditions,Antimicrobiology - Vaginitis-related conditions,"Antimicrobiology - S2 Get data to collect - Response - 1.4. ValueSet",,
